status_published,Fox News,Occupy Democrats
2014-12-28,1166366,962809
2015-01-04,3486540,357919
2015-01-11,4479245,875899
2015-01-18,3888642,1042961
2015-01-25,2287591,488994
2015-02-01,5642256,768210
2015-02-08,3081690,464796
2015-02-15,3419924,515617
2015-02-22,4660810,794542
2015-03-01,3342977,1106868
2015-03-08,4171679,834243
2015-03-15,3953054,1025147
2015-03-22,3274938,1385413
2015-03-29,3877866,1151308
2015-04-05,5247632,539114
2015-04-12,4330791,1215688
2015-04-19,4425433,931029
2015-04-26,5277869,857210
2015-05-03,3507961,1249376
2015-05-10,4554160,637452
2015-05-17,3708449,2956280
2015-05-24,4597754,1624263
2015-05-31,3491165,3015841
2015-06-07,4858208,2802112
2015-06-14,3474421,2999063
2015-06-21,4074323,2873134
2015-06-28,5449541,5803779
2015-07-05,5698256,3208097
2015-07-12,5234818,2195346
2015-07-19,4717147,2420233
2015-07-26,4150588,2340392
2015-08-02,4461435,3120054
2015-08-09,3645185,2278685
2015-08-16,3965156,4552353
2015-08-23,3595491,2312057
2015-08-30,4278323,3993204
2015-09-06,5002331,3876427
2015-09-13,3511523,6035804
2015-09-20,3287290,5787132
2015-09-27,4722891,3816503
2015-10-04,3704675,4998557
2015-10-11,3725893,3868022
2015-10-18,4271632,7581013
2015-10-25,4604804,3270769
2015-11-01,4110438,6582796
2015-11-08,5005010,7986624
2015-11-15,6755472,7510089
2015-11-22,3991138,3253354
2015-11-29,4704732,3981036
2015-12-06,6516163,8197149
2015-12-13,5875501,6214610
2015-12-20,3755070,2504361
2015-12-27,3535171,3116903
2016-01-03,4550767,5502995
2016-01-10,5260835,9132842
2016-01-17,4555335,6356284
2016-01-24,4121982,2576225
2016-01-31,5119246,5064704
2016-02-07,4338439,5360165
2016-02-14,4481757,6192345
2016-02-21,5052359,4255302
2016-02-28,6663014,4623528
2016-03-06,8663775,7520859
2016-03-13,5181401,5977718
2016-03-20,5580661,5273204
2016-03-27,5445527,4737179
2016-04-03,4222831,4162890
2016-04-10,3122001,3444526
2016-04-17,4188451,3229430
2016-04-24,4784885,3315766
2016-05-01,4615029,6338109
2016-05-08,4763138,5445961
2016-05-15,4639928,4474214
2016-05-22,6181217,1003991
2016-05-29,4843376,3168531
2016-06-05,5914607,5444359
2016-06-12,7754417,9950867
2016-06-19,5912536,8017498
2016-06-26,6948118,6654806
2016-07-03,10372731,8804360
2016-07-10,8891635,9446173
2016-07-17,10963973,6864100
2016-07-24,10097213,7402983
2016-07-31,6471433,4524186
2016-08-07,7213019,7776216
2016-08-14,6036254,7734330
2016-08-21,7714132,7401285
2016-08-28,6800050,8536678
2016-09-04,11223796,5320096
2016-09-11,8478397,9615977
2016-09-18,7347054,11349625
2016-09-25,8557276,12666646
2016-10-02,7667176,14511256
2016-10-09,11078538,15999895
2016-10-16,9525358,8719134
2016-10-23,10101624,9333292
2016-10-30,10794658,11227487
2016-11-06,18465012,17725059
2016-11-13,8020921,11480270
2016-11-20,8515804,11738007
2016-11-27,9002943,5525907
2016-12-04,8390443,7471451
2016-12-11,7824093,8539611
2016-12-18,7797206,6352859
2016-12-25,7344253,5433732
2017-01-01,8096387,6843791
2017-01-08,9693764,15886690
2017-01-15,18639520,23634299
2017-01-22,15843860,13452222
2017-01-29,14873008,15952429
2017-02-05,11396364,14708333
2017-02-12,10126524,14329652
2017-02-19,8041641,10096407
2017-02-26,8805186,7257865
2017-03-05,5881920,6763052
2017-03-12,6678845,8082015
2017-03-19,6526426,11641179
2017-03-26,4318213,6044349
