status_published,left,right
2014-12-28,2735721,6669197
2015-01-04,3073663,10325893
2015-01-11,4198339,14309438
2015-01-18,4220414,14749326
2015-01-25,2950189,9383113
2015-02-01,5116965,12524428
2015-02-08,3194582,10563508
2015-02-15,3879248,10580133
2015-02-22,3785495,10468189
2015-03-01,7199235,9680813
2015-03-08,4202902,13088697
2015-03-15,3031738,11472981
2015-03-22,6310289,10701123
2015-03-29,4618493,9005481
2015-04-05,3308661,13380055
2015-04-12,4369942,10161930
2015-04-19,3323883,12869745
2015-04-26,4769284,15129880
2015-05-03,6648548,11663283
2015-05-10,4335611,15088951
2015-05-17,7874172,8377824
2015-05-24,4193590,10856131
2015-05-31,8104347,15166425
2015-06-07,6205795,15211270
2015-06-14,6877018,8736689
2015-06-21,10967227,10302648
2015-06-28,8808051,11150844
2015-07-05,8679390,12506302
2015-07-12,5850649,15241446
2015-07-19,7404259,15116942
2015-07-26,5155475,15290160
2015-08-02,6766651,10586126
2015-08-09,5919348,8973033
2015-08-16,8369633,11517524
2015-08-23,6308869,9893699
2015-08-30,7563524,10967776
2015-09-06,6821521,12864142
2015-09-13,11201991,11125926
2015-09-20,10054614,9514763
2015-09-27,7728239,10806498
2015-10-04,7274259,10307503
2015-10-11,7030046,10046360
2015-10-18,11327575,13452383
2015-10-25,6502404,14863275
2015-11-01,9608168,11159748
2015-11-08,12038023,16908525
2015-11-15,11943094,15074121
2015-11-22,6959350,13841994
2015-11-29,7159881,11114050
2015-12-06,13104439,14465822
2015-12-13,11242745,12566986
2015-12-20,9927802,10461026
2015-12-27,7862556,10372907
2016-01-03,10292705,10737889
2016-01-10,10879123,13420061
2016-01-17,10123797,8853123
2016-01-24,7534928,11216392
2016-01-31,14455586,12421509
2016-02-07,11234845,10680998
2016-02-14,11697918,10477508
2016-02-21,9396089,9924200
2016-02-28,12064050,11371015
2016-03-06,16076931,13470784
2016-03-13,10685933,9781442
2016-03-20,16185830,11059837
2016-03-27,10821894,10376199
2016-04-03,10160749,8747641
2016-04-10,8827613,8312581
2016-04-17,9870782,10879317
2016-04-24,10425620,8697227
2016-05-01,11577979,9156698
2016-05-08,11187840,10869911
2016-05-15,10932727,11400920
2016-05-22,7248147,12066547
2016-05-29,8597659,10921302
2016-06-05,11536285,13877986
2016-06-12,16917752,13441203
2016-06-19,15440651,12709472
2016-06-26,19348946,10343127
2016-07-03,16641780,18693821
2016-07-10,16319712,15074353
2016-07-17,11958349,14810256
2016-07-24,11814799,14714811
2016-07-31,10959049,12433273
2016-08-07,14157715,11233072
2016-08-14,13235544,13326942
2016-08-21,14554282,14374322
2016-08-28,24038859,15346119
2016-09-04,13563754,19844046
2016-09-11,16949076,14746703
2016-09-18,25496877,14647821
2016-09-25,18426752,17630670
2016-10-02,19017823,17415279
2016-10-09,18663462,20437639
2016-10-16,12789533,15084506
2016-10-23,17171448,14605624
2016-10-30,22786796,17248027
2016-11-06,21167968,29434371
2016-11-13,16058810,14872512
2016-11-20,18058082,11924534
2016-11-27,11424842,14166197
2016-12-04,15046641,10242978
2016-12-11,15301641,9412217
2016-12-18,10587563,11229560
2016-12-25,10955237,10561230
2017-01-01,11626942,12914162
2017-01-08,17779168,12149446
2017-01-15,25219370,23592882
2017-01-22,22976596,19428407
2017-01-29,20006006,17941839
2017-02-05,18169673,14243981
2017-02-12,15732926,11926021
2017-02-19,11870745,9298718
2017-02-26,10056976,11519004
2017-03-05,11725308,8194416
2017-03-12,12480324,7676573
2017-03-19,13370484,8028152
2017-03-26,9105244,6705713
